tic,conm,fyear,sale,cogs,ni,at,sich
REPX,RILEY EXPL PERMIAN INC,2020,76.933,25.026,35.144,350.992,1311
MNRL,BRIGHAM MINERALS INC,2020,91.723,92.16,-57.994,680.961,1311
SLNG,STABILIS SOLUTIONS INC,2020,41.55,30.011,-6.756,80.313,1311
INDO,INDONESIA ENERGY CORP LTD,2020,1.981,2.018,-6.952,15.576,1311
BEPC,BROOKFIELD RENEWABLE CORP,2020,3087.0,1213.0,-2738.0,39473.0,4911
HPK,HIGHPEAK ENERGY INC,2020,24.623,24.751,-101.463,537.93,1311
MNTK,MONTAUK RENEWABLES INC,2020,100.383,61.427,4.603,253.356,1311
CRGY,CRESCENT ENERGY CO,2020,754.221,479.327,0.0,3907.369,1311
TXO,TXO ENERGY PARTNERS LP,2020,108.764,210.052,-163.238,623.94,1311
VTS,VITESSE ENERGY INC,2020,97.23,63.561,-8.857,627.13,1311
E,ENI SPA,2020,54166.431,48398.659,-10408.508,132168.164,2911
EPM,EVOLUTION PETROLEUM CORP,2020,29.599,13.505,5.937,92.138,1311
ELPC,COPEL-CIA PARANAENSE ENERGIA,2020,3389.838,2554.899,727.315,8898.363,4911
EDPFY,EDP SA,2020,15004.892,11604.965,965.143,51767.451,4911
DTE1,DETROIT EDISON CO,2020,5506.0,3189.0,778.0,26513.0,4911
AMEN,AMEN PROPERTIES INC,2020,1.143,0.816,-0.469,5.105,1311
UNS1,TUCSON ELECTRIC POWER CO,2020,1424.741,924.836,191.405,6090.127,4911
SSLZY,SANTOS LTD,2020,3512.0,2311.0,-357.0,17656.0,1311
SSL,SASOL LTD,2020,10972.86,7566.418,-5251.574,27619.166,2911
WDS,WOODSIDE ENERGY GROUP LTD,2020,3600.0,4705.0,-4028.0,24623.0,1311
RWEOY,RWE AKTIENGESELLSCHAFT,2020,17265.949,19327.159,1199.359,74333.744,4911
SSEZY,SSE PLC,2020,9404.049,6390.686,3135.693,29744.588,4911
FECCF,FRONTERA ENERGY CORP,2020,648.508,627.876,-497.406,2063.912,1311
CWVLF,CROWN POINT ENERGY INC,2020,9.671,16.69,-12.676,33.687,1311
MRNFF,MEREN ENERGY INC,2020,0.0,215.6,-17.614,910.499,1311
XLEFF,XXL ENERGY CORP,2020,1.496,5.709,-9.113,4.541,1311
SNUYF,SERINUS ENERGY PLC,2020,22.226,11.184,-9.297,94.362,1311
CNNEQ,CANACOL ENERGY LTD,2020,278.805,59.201,-4.743,749.792,1311
NKRSF,NIKO RESOURCES LTD,2020,0.0,0.0,-4.618,2.311,1311
FE1,OHIO EDISON CO,2020,1602.0,1126.0,247.0,4198.0,4911
FOLGF,FALCON OIL & GAS LTD,2020,0.005,0.012,-1.83,54.053,1311
CEIN,CAMBER ENERGY INC,2020,40.267,62.201,-61.992,115.758,1311
STMGF,STAMPER OIL & GAS CORP,2020,0.0,0.0,-0.087,0.004,1311
EAS2,NEW YORK ST ELEC & GAS CORP,2020,1564.241,1212.33,129.948,6459.388,4911
EPD,ENTERPRISE PRODCT PARTNRS LP,2020,27199.7,20241.5,3775.6,64106.7,1311
POM4,DELMARVA POWER & LIGHT CO,2020,1271.0,929.0,125.0,5140.0,4911
NST1,NSTAR ELECTRIC CO,2020,2941.148,1967.36,445.001,12886.299,4911
OGE1,OKLAHOMA GAS & ELECTRIC CO,2020,2122.3,1206.2,339.4,10489.0,4911
AEE1,UNION ELECTRIC CO,2020,3109.0,1918.0,439.0,16783.0,4911
CGXEF,CGX ENERGY INC,2020,0.0,0.0,-5.496,39.177,1311
CNX,CNX RESOURCES CORP,2020,1258.666,723.878,-483.775,8041.764,1311
DBRM,DAYBREAK OIL & GAS INC,2020,0.405,0.188,-0.512,0.912,1311
9840B,OLD DOMINION ELECTRIC COOP,2020,807.704,672.866,12.159,2067.644,4911
PTCCY,PETROCHINA COMPANY LIMITED,2020,294263.199,245176.878,2892.058,378607.036,2911
NRG,NRG ENERGY INC,2020,9093.0,7528.0,510.0,14902.0,4911
SPOWF,STRATA PWR CORP,2020,0.0,0.0,-0.023,0.184,1311
NS,NUSTAR ENERGY LP,2020,1481.564,671.246,-198.983,5817.018,2911
NOG,NORTHERN OIL & GAS INC,2020,552.21,1212.787,-906.041,872.089,1311
CEO,CNOOC LTD,2020,23642.264,7951.41,3797.443,109753.2,1311
CUPUF,CARIBBEAN UTILITIES COMPANY,2020,177.45,110.217,26.065,633.667,4911
CEG1,BALTIMORE GAS & ELECTRIC CO,2020,3098.0,2040.0,349.0,11650.0,4911
PGN2,DUKE ENERGY PROGRESS INC,2020,5422.0,3741.0,415.0,33733.0,4911
CNL1,CLECO POWER LLC,2020,1032.292,659.967,96.655,4766.147,4911
IDA1,IDAHO POWER CO,2020,1347.34,866.912,233.235,6906.11,4911
SRP2,NEVADA POWER CO,2020,1998.0,1162.0,295.0,8336.0,4911
PPL2,PPL ELECTRIC UTILITIES CORP,2020,2331.0,1111.0,497.0,12324.0,4911
EAS3,CENTRAL MAINE POWER CO,2020,888.225,537.021,138.21,5036.373,4911
AGIG,ABUNDIA GLOBAL IMPACT GRP IN,2020,0.552,2.92,-4.037,6.842,1311
XEC,CIMAREX ENERGY CO,2020,1558.595,2270.204,-1967.458,4621.989,1311
QEP,QEP RESOURCES INC,2020,724.4,273.4,3.2,5114.2,1311
POM3,POTOMAC ELECTRIC POWER CO,2020,2149.0,1422.0,266.0,9264.0,4911
WLL,WHITING PETROLEUM CORP,2020,737.478,4479.985,-3926.388,2043.94,1311
CNP6,CENTERPOINT ENRG HOUSTON ELE,2020,2911.0,1775.0,334.0,11316.0,4911
TXU3,ONCOR ELECTRIC DELIVERY CO,2020,4511.0,2438.0,713.0,29172.0,4911
EXC2,EXELON GENERATION CO LLC,2020,17603.0,15150.0,589.0,48094.0,4911
GXP1,KANSAS CITY POWER & LIGHT CO,2020,1705.6,945.2,298.7,8915.8,4911
PEG3,PSEG POWER LLC,2020,3634.0,2663.0,594.0,12704.0,4911
SO6,SOUTHERN POWER CO,2020,1733.0,936.0,238.0,13235.0,4911
VST,VISTRA CORP,2020,11443.0,8108.0,636.0,25208.0,4911
SARA,SARATOGA RESOURCES INC,2020,0.0,0.0,-0.41,0.0,1311
WTI,W&T OFFSHORE INC,2020,346.634,179.104,37.79,940.582,1311
ORA,ORMAT TECHNOLOGIES INC,2020,705.342,348.672,85.456,3888.987,4911
HPR,HIGHPOINT RESOURCES CORP,2020,250.347,1238.951,-1163.981,826.637,1311
VELXQ,CANADIAN OVERSEAS PETRO LTD,2020,0.0,0.0,-4.961,6.992,1311
ZNOG,ZION OIL & GAS INC,2020,0.0,0.0,-6.996,43.503,1311
GTE,GRAN TIERRA ENERGY INC,2020,237.838,686.926,-777.967,1201.762,1311
CTARF,CENTAURUS ENERGY INC,2020,22.539,34.252,-38.02,39.241,1311
DCP,DCP MIDSTREAM LP,2020,6146.0,5341.0,-306.0,12957.0,1311
CLMT,CALUMET INC,2020,2268.2,1949.0,-149.0,1808.3,2911
DK,DELEK US HOLDINGS INC,2020,7301.8,7399.6,-608.0,6134.1,2911
FANG,DIAMONDBACK ENERGY INC,2020,2813.0,6890.0,-4517.0,17619.0,1311
